example_id,subset,pair_type,source_text,target_text,alternate_text,retrieval_t0,retrieval_t02,retrieval_t05,retrieval_t08,retrieval_t10,off_manifold_mean,detour_ratio,dual_detour_ratio
148,swap_object,incongruent,a tub boat pulling a small barge through the water,A small barge pulling a tub boat through the water.,A small barge is being pulled through the water by a tub boat.,a tub boat pulling a small barge through the water,a tub boat pulling a small barge through the water,A small barge pulling a tub boat through the water.,A small barge pulling a tub boat through the water.,A small barge pulling a tub boat through the water.,0.13373486979305463,1.0,1.053074647637692
231,swap_object,congruent,A truck is shown with another car in the back of it.,TAnother car is positioned behind the truck in the image.,Another car is shown with a truck in the back of it.,A truck is shown with another car in the back of it.,A truck is shown with another car in the back of it.,A truck is shown with another car in the back of it.,TAnother car is positioned behind the truck in the image.,TAnother car is positioned behind the truck in the image.,0.21849397817136873,1.0,1.224890511006691
231,swap_object,incongruent,A truck is shown with another car in the back of it.,Another car is shown with a truck in the back of it.,TAnother car is positioned behind the truck in the image.,A truck is shown with another car in the back of it.,A truck is shown with another car in the back of it.,A truck is shown with another car in the back of it.,Another car is shown with a truck in the back of it.,Another car is shown with a truck in the back of it.,0.10402775294888317,1.0,1.021536827191382
79,swap_object,congruent,A bagel machine is making bagels while people work in the background.,"While people work in the background, a bagel machine is preparing bagels.",People are making bagels while a bagel machine works in the background.,A bagel machine is making bagels while people work in the background.,A bagel machine is making bagels while people work in the background.,A bagel machine is making bagels while people work in the background.,"While people work in the background, a bagel machine is preparing bagels.","While people work in the background, a bagel machine is preparing bagels.",0.10816878738562156,1.0,1.0245021048148428
79,swap_object,incongruent,A bagel machine is making bagels while people work in the background.,People are making bagels while a bagel machine works in the background.,"While people work in the background, a bagel machine is preparing bagels.",A bagel machine is making bagels while people work in the background.,A bagel machine is making bagels while people work in the background.,A bagel machine is making bagels while people work in the background.,People are making bagels while a bagel machine works in the background.,People are making bagels while a bagel machine works in the background.,0.10111328276103349,1.0,1.0189806388459952
167,swap_object,congruent,A skier is posing for the camera while a young child is in the background. ,A young child is positioned in the background while a skier is posing for the camera.,A young child is posing for the camera while a skier is in the background.,A skier is posing for the camera while a young child is in the background. ,A skier is posing for the camera while a young child is in the background. ,A skier is posing for the camera while a young child is in the background. ,A young child is positioned in the background while a skier is posing for the camera.,A young child is positioned in the background while a skier is posing for the camera.,0.13232414591178082,1.0,1.0543330258208043
167,swap_object,incongruent,A skier is posing for the camera while a young child is in the background. ,A young child is posing for the camera while a skier is in the background.,A young child is positioned in the background while a skier is posing for the camera.,A skier is posing for the camera while a young child is in the background. ,A skier is posing for the camera while a young child is in the background. ,A skier is posing for the camera while a young child is in the background. ,A young child is posing for the camera while a skier is in the background.,A young child is posing for the camera while a skier is in the background.,0.11906973568264562,1.0,1.0360542721138903
191,swap_object,congruent,"A faded stop sign with two street signs above, in a rural area.","A stop sign that is faded with two street signs above, is positioned in a rural area.","Two faded street signs with a stop sign above, in a rural area.","A faded stop sign with two street signs above, in a rural area.","A faded stop sign with two street signs above, in a rural area.","A faded stop sign with two street signs above, in a rural area.","A stop sign that is faded with two street signs above, is positioned in a rural area.","A stop sign that is faded with two street signs above, is positioned in a rural area.",0.0935676234169396,1.0,1.014065506599493
191,swap_object,incongruent,"A faded stop sign with two street signs above, in a rural area.","Two faded street signs with a stop sign above, in a rural area.","A stop sign that is faded with two street signs above, is positioned in a rural area.","A faded stop sign with two street signs above, in a rural area.","A faded stop sign with two street signs above, in a rural area.","A faded stop sign with two street signs above, in a rural area.","Two faded street signs with a stop sign above, in a rural area.","Two faded street signs with a stop sign above, in a rural area.",0.08295329690791522,1.0,1.008818672262845
85,swap_object,congruent,A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,"A photograph of a bathroom featuring a sink with a fern plant nearby, and a depiction of a city situated above the toilet.",A picture of a bathroom with a photo of a city near the sink and a fern plant above the toilet.,A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,"A photograph of a bathroom featuring a sink with a fern plant nearby, and a depiction of a city situated above the toilet.","A photograph of a bathroom featuring a sink with a fern plant nearby, and a depiction of a city situated above the toilet.","A photograph of a bathroom featuring a sink with a fern plant nearby, and a depiction of a city situated above the toilet.",0.11164462269231981,1.0,1.0279050612249963
85,swap_object,incongruent,A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,A picture of a bathroom with a photo of a city near the sink and a fern plant above the toilet.,"A photograph of a bathroom featuring a sink with a fern plant nearby, and a depiction of a city situated above the toilet.",A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,A picture of a bathroom with a fern plant near the sink and a photo of a city above the toilet. ,A picture of a bathroom with a photo of a city near the sink and a fern plant above the toilet.,A picture of a bathroom with a photo of a city near the sink and a fern plant above the toilet.,0.06759361228110632,1.0,1.003950852325487
176,swap_object,congruent,A street sign is pictured at the forefront with an ornate building in the background. ,An ornate building is positioned in the background with a street sign shown in the foreground.,An ornate building is pictured at the forefront with a street sign in the background.,A street sign is pictured at the forefront with an ornate building in the background. ,A street sign is pictured at the forefront with an ornate building in the background. ,A street sign is pictured at the forefront with an ornate building in the background. ,An ornate building is positioned in the background with a street sign shown in the foreground.,An ornate building is positioned in the background with a street sign shown in the foreground.,0.14405598680583961,1.0,1.074283312559654
176,swap_object,incongruent,A street sign is pictured at the forefront with an ornate building in the background. ,An ornate building is pictured at the forefront with a street sign in the background.,An ornate building is positioned in the background with a street sign shown in the foreground.,A street sign is pictured at the forefront with an ornate building in the background. ,A street sign is pictured at the forefront with an ornate building in the background. ,A street sign is pictured at the forefront with an ornate building in the background. ,An ornate building is pictured at the forefront with a street sign in the background.,An ornate building is pictured at the forefront with a street sign in the background.,0.12230963798050455,1.0,1.0388224765237788
215,swap_object,congruent,a close up of a dog with a car in the back,A car in the background of a close-up photo of a dog.,A close up of a car with a dog in the back.,a close up of a dog with a car in the back,a close up of a dog with a car in the back,A car in the background of a close-up photo of a dog.,A car in the background of a close-up photo of a dog.,A car in the background of a close-up photo of a dog.,0.17097567427197558,1.0,1.1236857218701555
215,swap_object,incongruent,a close up of a dog with a car in the back,A close up of a car with a dog in the back.,A car in the background of a close-up photo of a dog.,a close up of a dog with a car in the back,a close up of a dog with a car in the back,A close up of a car with a dog in the back.,A close up of a car with a dog in the back.,A close up of a car with a dog in the back.,0.13624341723011757,1.0,1.0583983758042546
160,swap_object,congruent,A horse pulling a wagon with a conductor down the road. ,A wagon with a conductor is being pulled down the road by a horse.,A conductor pulling a wagon with a horse down the road.,A horse pulling a wagon with a conductor down the road. ,A horse pulling a wagon with a conductor down the road. ,A horse pulling a wagon with a conductor down the road. ,A wagon with a conductor is being pulled down the road by a horse.,A wagon with a conductor is being pulled down the road by a horse.,0.1399976431303341,1.0,1.0654187122395091
160,swap_object,incongruent,A horse pulling a wagon with a conductor down the road. ,A conductor pulling a wagon with a horse down the road.,A wagon with a conductor is being pulled down the road by a horse.,A horse pulling a wagon with a conductor down the road. ,A horse pulling a wagon with a conductor down the road. ,A conductor pulling a wagon with a horse down the road.,A conductor pulling a wagon with a horse down the road.,A conductor pulling a wagon with a horse down the road.,0.14216883476473213,1.0,1.0691709120704869
9,swap_object,congruent,A person with a ball facing a child with a racquet.,A person holding a ball is standing in front of a child holding a racquet.,A child with a ball facing a person with a racquet.,A person with a ball facing a child with a racquet.,A person with a ball facing a child with a racquet.,A person holding a ball is standing in front of a child holding a racquet.,A person holding a ball is standing in front of a child holding a racquet.,A person holding a ball is standing in front of a child holding a racquet.,0.14156115950099918,1.0,1.0641425083994396
9,swap_object,incongruent,A person with a ball facing a child with a racquet.,A child with a ball facing a person with a racquet.,A person holding a ball is standing in front of a child holding a racquet.,A person with a ball facing a child with a racquet.,A person with a ball facing a child with a racquet.,A child with a ball facing a person with a racquet.,A child with a ball facing a person with a racquet.,A child with a ball facing a person with a racquet.,0.09950682826543283,1.0,1.0179743128483696
95,swap_object,congruent,a person standing on cement lift their leg over a brief case,A person elevates their leg over a briefcase while standing on a cement.,a person standing on a briefcase lifts their leg over cement.,a person standing on cement lift their leg over a brief case,a person standing on cement lift their leg over a brief case,A person elevates their leg over a briefcase while standing on a cement.,A person elevates their leg over a briefcase while standing on a cement.,A person elevates their leg over a briefcase while standing on a cement.,0.13437990761648183,1.0,1.05716610891905
95,swap_object,incongruent,a person standing on cement lift their leg over a brief case,a person standing on a briefcase lifts their leg over cement.,A person elevates their leg over a briefcase while standing on a cement.,a person standing on cement lift their leg over a brief case,a person standing on cement lift their leg over a brief case,a person standing on a briefcase lifts their leg over cement.,a person standing on a briefcase lifts their leg over cement.,a person standing on a briefcase lifts their leg over cement.,0.13144091472586988,1.0,1.0525225011176595
90,swap_object,congruent,"A table with five red cups, a pineapple and some oranges on a plate","A plate with some oranges, five red cups, and a pineapple are placed on a table.","A plate with five red cups, a pineapple and some oranges on a table.","A table with five red cups, a pineapple and some oranges on a plate","A table with five red cups, a pineapple and some oranges on a plate","A plate with some oranges, five red cups, and a pineapple are placed on a table.","A plate with some oranges, five red cups, and a pineapple are placed on a table.","A plate with some oranges, five red cups, and a pineapple are placed on a table.",0.12148811567119806,1.0,1.0391810553537175
90,swap_object,incongruent,"A table with five red cups, a pineapple and some oranges on a plate","A plate with five red cups, a pineapple and some oranges on a table.","A plate with some oranges, five red cups, and a pineapple are placed on a table.","A table with five red cups, a pineapple and some oranges on a plate","A table with five red cups, a pineapple and some oranges on a plate","A plate with five red cups, a pineapple and some oranges on a table.","A plate with five red cups, a pineapple and some oranges on a table.","A plate with five red cups, a pineapple and some oranges on a table.",0.1057854238185014,1.0,1.02251624648461
235,swap_object,congruent,Two persons biting a surfboard with a shark on it.,A couple of persons are biting a surfboard that has a shark on it.,A shark biting a surfboard with two persons on it.,Two persons biting a surfboard with a shark on it.,Two persons biting a surfboard with a shark on it.,A couple of persons are biting a surfboard that has a shark on it.,A couple of persons are biting a surfboard that has a shark on it.,A couple of persons are biting a surfboard that has a shark on it.,0.08812964983908134,1.0,1.0112486701387196
235,swap_object,incongruent,Two persons biting a surfboard with a shark on it.,A shark biting a surfboard with two persons on it.,A couple of persons are biting a surfboard that has a shark on it.,Two persons biting a surfboard with a shark on it.,Two persons biting a surfboard with a shark on it.,A shark biting a surfboard with two persons on it.,A shark biting a surfboard with two persons on it.,A shark biting a surfboard with two persons on it.,0.13950186226580064,1.0,1.0613536408372095
194,swap_object,congruent,A person is holding a baby with another young child beside the person.,A young child is standing beside a person who is holding a baby.,A young child is holding a baby with another person beside the child.,A person is holding a baby with another young child beside the person.,A person is holding a baby with another young child beside the person.,A person is holding a baby with another young child beside the person.,A young child is standing beside a person who is holding a baby.,A young child is standing beside a person who is holding a baby.,0.1755047567279635,1.0,1.1416945510074488
194,swap_object,incongruent,A person is holding a baby with another young child beside the person.,A young child is holding a baby with another person beside the child.,A young child is standing beside a person who is holding a baby.,A person is holding a baby with another young child beside the person.,A person is holding a baby with another young child beside the person.,A person is holding a baby with another young child beside the person.,A young child is holding a baby with another person beside the child.,A young child is holding a baby with another person beside the child.,0.13859102703524373,1.0,1.0613491192339788
34,swap_object,congruent,A man holds a bat while a woman watches.,A woman watches while a man holds a bat.,A woman holds a bat while a man watches.,A man holds a bat while a woman watches.,A man holds a bat while a woman watches.,A man holds a bat while a woman watches.,A woman watches while a man holds a bat.,A woman watches while a man holds a bat.,0.12334255190901595,1.0,1.0417937272139355
34,swap_object,incongruent,A man holds a bat while a woman watches.,A woman holds a bat while a man watches.,A woman watches while a man holds a bat.,A man holds a bat while a woman watches.,A man holds a bat while a woman watches.,A man holds a bat while a woman watches.,A woman holds a bat while a man watches.,A woman holds a bat while a man watches.,0.09936279811612572,1.0,1.0181877181616465
186,swap_object,congruent,A table topped with a cake covered in berries next to a plate of sandwiches.,A cake covered in berries is positioned adjacent to a plate of sandwiches on top of a table.,A table topped with a plate of sandwiches covered in berries next to a cake.,A table topped with a cake covered in berries next to a plate of sandwiches.,A table topped with a cake covered in berries next to a plate of sandwiches.,A cake covered in berries is positioned adjacent to a plate of sandwiches on top of a table.,A cake covered in berries is positioned adjacent to a plate of sandwiches on top of a table.,A cake covered in berries is positioned adjacent to a plate of sandwiches on top of a table.,0.11267972941549693,1.0,1.02849990292069
186,swap_object,incongruent,A table topped with a cake covered in berries next to a plate of sandwiches.,A table topped with a plate of sandwiches covered in berries next to a cake.,A cake covered in berries is positioned adjacent to a plate of sandwiches on top of a table.,A table topped with a cake covered in berries next to a plate of sandwiches.,A table topped with a cake covered in berries next to a plate of sandwiches.,A table topped with a cake covered in berries next to a plate of sandwiches.,A table topped with a plate of sandwiches covered in berries next to a cake.,A table topped with a plate of sandwiches covered in berries next to a cake.,0.07637717062609742,1.0,1.006527678099105
152,swap_object,congruent,A person surfing in the ocean with a sail boat behind the person.,"with a sail boat positioned in the background, a person is surfing in the ocean.",A sail boat surfing in the ocean with a person behind it.,A person surfing in the ocean with a sail boat behind the person.,A person surfing in the ocean with a sail boat behind the person.,A person surfing in the ocean with a sail boat behind the person.,"with a sail boat positioned in the background, a person is surfing in the ocean.","with a sail boat positioned in the background, a person is surfing in the ocean.",0.1730338800565018,1.0,1.1264454131441846
152,swap_object,incongruent,A person surfing in the ocean with a sail boat behind the person.,A sail boat surfing in the ocean with a person behind it.,"with a sail boat positioned in the background, a person is surfing in the ocean.",A person surfing in the ocean with a sail boat behind the person.,A person surfing in the ocean with a sail boat behind the person.,A person surfing in the ocean with a sail boat behind the person.,A sail boat surfing in the ocean with a person behind it.,A sail boat surfing in the ocean with a person behind it.,0.1323785854748383,1.0,1.0526609195586571
13,swap_object,congruent,Three snow boards behind trophies in a window.,Three snowboards are displayed behind trophies in a window.,Three trophies behind snow boards in a window.,Three snow boards behind trophies in a window.,Three snow boards behind trophies in a window.,Three snow boards behind trophies in a window.,Three snowboards are displayed behind trophies in a window.,Three snowboards are displayed behind trophies in a window.,0.09357746650449753,1.0,1.0147294674515341
13,swap_object,incongruent,Three snow boards behind trophies in a window.,Three trophies behind snow boards in a window.,Three snowboards are displayed behind trophies in a window.,Three snow boards behind trophies in a window.,Three snow boards behind trophies in a window.,Three snow boards behind trophies in a window.,Three trophies behind snow boards in a window.,Three trophies behind snow boards in a window.,0.11624285140408566,1.0,1.0335116043956345
664,swap_atribute,congruent,A white toilet with a black colored seat.,The toilet seat is black while the toilet is white.,A black colored toilet with a white seat.,A white toilet with a black colored seat.,A white toilet with a black colored seat.,A white toilet with a black colored seat.,The toilet seat is black while the toilet is white.,The toilet seat is black while the toilet is white.,0.16328631521907638,1.0,1.1037455326481092
664,swap_atribute,incongruent,A white toilet with a black colored seat.,A black colored toilet with a white seat.,The toilet seat is black while the toilet is white.,A white toilet with a black colored seat.,A white toilet with a black colored seat.,A black colored toilet with a white seat.,A black colored toilet with a white seat.,A black colored toilet with a white seat.,0.0839283518977849,1.0,1.009408277649616
443,swap_atribute,congruent,a little black bird with a big colorful beak sitting on a branch,"A small black bird with a large, colorful beak perched on a branch.",a big colorful black bird with a little beak sitting on a branch,a little black bird with a big colorful beak sitting on a branch,a little black bird with a big colorful beak sitting on a branch,"A small black bird with a large, colorful beak perched on a branch.","A small black bird with a large, colorful beak perched on a branch.","A small black bird with a large, colorful beak perched on a branch.",0.1553811432557578,1.0,1.0866052131431119
443,swap_atribute,incongruent,a little black bird with a big colorful beak sitting on a branch,a big colorful black bird with a little beak sitting on a branch,"A small black bird with a large, colorful beak perched on a branch.",a little black bird with a big colorful beak sitting on a branch,a little black bird with a big colorful beak sitting on a branch,a big colorful black bird with a little beak sitting on a branch,a big colorful black bird with a little beak sitting on a branch,a big colorful black bird with a little beak sitting on a branch,0.09702618977319902,1.0,1.0164725755901107
546,swap_atribute,congruent,"A smiling child standing beside a sign that says ""Princess Parking Only"".","""Princess Parking Only"" reads a sign next to a child with a smile.","A Princess child standing beside a sign that says ""smiling Parking Only"".","A smiling child standing beside a sign that says ""Princess Parking Only"".","A smiling child standing beside a sign that says ""Princess Parking Only"".","""Princess Parking Only"" reads a sign next to a child with a smile.","""Princess Parking Only"" reads a sign next to a child with a smile.","""Princess Parking Only"" reads a sign next to a child with a smile.",0.13208912622124924,1.0,1.052576554955686
546,swap_atribute,incongruent,"A smiling child standing beside a sign that says ""Princess Parking Only"".","A Princess child standing beside a sign that says ""smiling Parking Only"".","""Princess Parking Only"" reads a sign next to a child with a smile.","A smiling child standing beside a sign that says ""Princess Parking Only"".","A smiling child standing beside a sign that says ""Princess Parking Only"".","A Princess child standing beside a sign that says ""smiling Parking Only"".","A Princess child standing beside a sign that says ""smiling Parking Only"".","A Princess child standing beside a sign that says ""smiling Parking Only"".",0.10023509733594585,1.0,1.018897096215662
303,swap_atribute,congruent,"A person falling asleep next to another person, who are both sitting down.","A person is sitting next to another person, both of whom are falling asleep while sitting down.","A person sitting down next to another person, who are both falling asleep.","A person falling asleep next to another person, who are both sitting down.","A person falling asleep next to another person, who are both sitting down.","A person falling asleep next to another person, who are both sitting down.","A person is sitting next to another person, both of whom are falling asleep while sitting down.","A person is sitting next to another person, both of whom are falling asleep while sitting down.",0.14474456785147774,1.0,1.0757916524385673
303,swap_atribute,incongruent,"A person falling asleep next to another person, who are both sitting down.","A person sitting down next to another person, who are both falling asleep.","A person is sitting next to another person, both of whom are falling asleep while sitting down.","A person falling asleep next to another person, who are both sitting down.","A person falling asleep next to another person, who are both sitting down.","A person falling asleep next to another person, who are both sitting down.","A person sitting down next to another person, who are both falling asleep.","A person sitting down next to another person, who are both falling asleep.",0.11898633528527641,1.0,1.0352184027173927
235,swap_atribute,congruent,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom has a maple color vanity and door. The wall is painted in light blue and has pink ceramic tile that adorns the shower wall.,The bathroom is painted pink and has a light blue ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom has a maple color vanity and door. The wall is painted in light blue and has pink ceramic tile that adorns the shower wall.,The bathroom has a maple color vanity and door. The wall is painted in light blue and has pink ceramic tile that adorns the shower wall.,The bathroom has a maple color vanity and door. The wall is painted in light blue and has pink ceramic tile that adorns the shower wall.,0.07808998347833768,1.0,1.0075668632962098
235,swap_atribute,incongruent,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted pink and has a light blue ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom has a maple color vanity and door. The wall is painted in light blue and has pink ceramic tile that adorns the shower wall.,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted a light blue and has pink ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted pink and has a light blue ceramic tile that adorns the shower wall along with a maple color vanity and door.,The bathroom is painted pink and has a light blue ceramic tile that adorns the shower wall along with a maple color vanity and door.,0.0492854306949792,1.0,1.0011809838655874
626,swap_atribute,congruent,A little child picking up an upside down umbrella by its handle.,An upside umbrella is being picked up by a little child.,An upside down child picking up a little umbrella by its handle.,A little child picking up an upside down umbrella by its handle.,A little child picking up an upside down umbrella by its handle.,A little child picking up an upside down umbrella by its handle.,An upside umbrella is being picked up by a little child.,An upside umbrella is being picked up by a little child.,0.15677983897295722,1.0,1.09701092939872
626,swap_atribute,incongruent,A little child picking up an upside down umbrella by its handle.,An upside down child picking up a little umbrella by its handle.,An upside umbrella is being picked up by a little child.,A little child picking up an upside down umbrella by its handle.,A little child picking up an upside down umbrella by its handle.,A little child picking up an upside down umbrella by its handle.,An upside down child picking up a little umbrella by its handle.,An upside down child picking up a little umbrella by its handle.,0.10876243799369134,1.0,1.0253326706426364
494,swap_atribute,congruent,A well decorated toilet seat with undecorated surroundings.,"The toilet seat is well decorated, but the surroundings are undecorated.",An undecorated toilet seat with well decorated surroundings.,A well decorated toilet seat with undecorated surroundings.,A well decorated toilet seat with undecorated surroundings.,A well decorated toilet seat with undecorated surroundings.,"The toilet seat is well decorated, but the surroundings are undecorated.","The toilet seat is well decorated, but the surroundings are undecorated.",0.13384623234596474,1.0,1.0542622851121233
494,swap_atribute,incongruent,A well decorated toilet seat with undecorated surroundings.,An undecorated toilet seat with well decorated surroundings.,"The toilet seat is well decorated, but the surroundings are undecorated.",A well decorated toilet seat with undecorated surroundings.,A well decorated toilet seat with undecorated surroundings.,A well decorated toilet seat with undecorated surroundings.,An undecorated toilet seat with well decorated surroundings.,An undecorated toilet seat with well decorated surroundings.,0.09338086281258895,1.0,1.0143546961714272
660,swap_atribute,congruent,A glass vase is beside a white candle.,The white candle is beside the glass vase.,A white vase is beside a glass candle.,A glass vase is beside a white candle.,A glass vase is beside a white candle.,A glass vase is beside a white candle.,The white candle is beside the glass vase.,The white candle is beside the glass vase.,0.13059094542535918,1.0,1.0500535771592523
660,swap_atribute,incongruent,A glass vase is beside a white candle.,A white vase is beside a glass candle.,The white candle is beside the glass vase.,A glass vase is beside a white candle.,A glass vase is beside a white candle.,A glass vase is beside a white candle.,A white vase is beside a glass candle.,A white vase is beside a glass candle.,0.09039363165448858,1.0,1.0125936332756316
611,swap_atribute,congruent,A bathroom with black and white toilet and a tiled floor.,A black and white toilet and a tiled floor are the features of the bathroom.,A bathroom with a tiled toilet and a black and white floor.,A bathroom with black and white toilet and a tiled floor.,A bathroom with black and white toilet and a tiled floor.,A bathroom with black and white toilet and a tiled floor.,A black and white toilet and a tiled floor are the features of the bathroom.,A black and white toilet and a tiled floor are the features of the bathroom.,0.14625802282651781,1.0,1.0735253639907587
611,swap_atribute,incongruent,A bathroom with black and white toilet and a tiled floor.,A bathroom with a tiled toilet and a black and white floor.,A black and white toilet and a tiled floor are the features of the bathroom.,A bathroom with black and white toilet and a tiled floor.,A bathroom with black and white toilet and a tiled floor.,A bathroom with a tiled toilet and a black and white floor.,A bathroom with a tiled toilet and a black and white floor.,A bathroom with a tiled toilet and a black and white floor.,0.06326292463517294,1.0,1.0031889912307999
170,swap_atribute,congruent,A black cat is sitting in a bathroom sink.,The black cat is inside the bathroom sink.,A bathroom cat is sitting in a black sink.,A black cat is sitting in a bathroom sink.,A black cat is sitting in a bathroom sink.,A black cat is sitting in a bathroom sink.,The black cat is inside the bathroom sink.,The black cat is inside the bathroom sink.,0.12247644418548267,1.0,1.0395349967289402
170,swap_atribute,incongruent,A black cat is sitting in a bathroom sink.,A bathroom cat is sitting in a black sink.,The black cat is inside the bathroom sink.,A black cat is sitting in a bathroom sink.,A black cat is sitting in a bathroom sink.,A bathroom cat is sitting in a black sink.,A bathroom cat is sitting in a black sink.,A bathroom cat is sitting in a black sink.,0.11635572619899771,1.0,1.0322479112093437
597,swap_atribute,congruent,Several middle eastern looking stickers decorate a black briefcase.,Several stickers with a Middle Eastern appearance adorn a black briefcase.,Several black stickers decorate a middle eastern looking briefcase.,Several middle eastern looking stickers decorate a black briefcase.,Several middle eastern looking stickers decorate a black briefcase.,Several middle eastern looking stickers decorate a black briefcase.,Several stickers with a Middle Eastern appearance adorn a black briefcase.,Several stickers with a Middle Eastern appearance adorn a black briefcase.,0.07406198828472738,1.0,1.0056739434792747
597,swap_atribute,incongruent,Several middle eastern looking stickers decorate a black briefcase.,Several black stickers decorate a middle eastern looking briefcase.,Several stickers with a Middle Eastern appearance adorn a black briefcase.,Several middle eastern looking stickers decorate a black briefcase.,Several middle eastern looking stickers decorate a black briefcase.,Several black stickers decorate a middle eastern looking briefcase.,Several black stickers decorate a middle eastern looking briefcase.,Several black stickers decorate a middle eastern looking briefcase.,0.10818428626554291,1.0,1.0246198132431308
294,swap_atribute,congruent,"Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","In a doughnut box, there are six doughnuts, with two being chocolate, three being glazed, and one being a raised pink iced.","Hald a dozen doughnuts sits in a doughnut box and one is chocolate, three are glazed and two are raised pink iced.","Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","In a doughnut box, there are six doughnuts, with two being chocolate, three being glazed, and one being a raised pink iced.","In a doughnut box, there are six doughnuts, with two being chocolate, three being glazed, and one being a raised pink iced.",0.12136630868358786,1.0,1.0374075824108266
294,swap_atribute,incongruent,"Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","Hald a dozen doughnuts sits in a doughnut box and one is chocolate, three are glazed and two are raised pink iced.","In a doughnut box, there are six doughnuts, with two being chocolate, three being glazed, and one being a raised pink iced.","Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","Half a dozen doughnuts sits in a doughnut box and two are chocolate, three are glazed and one is a raised pink iced.","Hald a dozen doughnuts sits in a doughnut box and one is chocolate, three are glazed and two are raised pink iced.","Hald a dozen doughnuts sits in a doughnut box and one is chocolate, three are glazed and two are raised pink iced.","Hald a dozen doughnuts sits in a doughnut box and one is chocolate, three are glazed and two are raised pink iced.",0.08604542455936869,1.0,1.0103432349176498
217,swap_atribute,congruent,person surfing small wave using a body board.,The person is surfing a small wave using a body board.,person surfing body wave using a small board.,person surfing small wave using a body board.,person surfing small wave using a body board.,The person is surfing a small wave using a body board.,The person is surfing a small wave using a body board.,The person is surfing a small wave using a body board.,0.13434603233110456,1.0,1.0536282711512857
217,swap_atribute,incongruent,person surfing small wave using a body board.,person surfing body wave using a small board.,The person is surfing a small wave using a body board.,person surfing small wave using a body board.,person surfing small wave using a body board.,person surfing body wave using a small board.,person surfing body wave using a small board.,person surfing body wave using a small board.,0.10161714678736973,1.0,1.0194235871116133
247,swap_atribute,congruent,A golden obelisk stands in the middle of an ornate building.,The ornate building has a golden obelisk standing in its center.,An ornate obelisk stands in the middle of a golden building.,A golden obelisk stands in the middle of an ornate building.,A golden obelisk stands in the middle of an ornate building.,A golden obelisk stands in the middle of an ornate building.,The ornate building has a golden obelisk standing in its center.,The ornate building has a golden obelisk standing in its center.,0.13680888325290985,1.0,1.059738978585044
247,swap_atribute,incongruent,A golden obelisk stands in the middle of an ornate building.,An ornate obelisk stands in the middle of a golden building.,The ornate building has a golden obelisk standing in its center.,A golden obelisk stands in the middle of an ornate building.,A golden obelisk stands in the middle of an ornate building.,A golden obelisk stands in the middle of an ornate building.,An ornate obelisk stands in the middle of a golden building.,An ornate obelisk stands in the middle of a golden building.,0.08303136754579883,1.0,1.008880730429696
302,swap_atribute,congruent,The metro train is painted white with blue lettering.,Some blue lettering is present in a while painted metro train.,The metro train is painted blue with white lettering.,The metro train is painted white with blue lettering.,The metro train is painted white with blue lettering.,The metro train is painted blue with white lettering.,Some blue lettering is present in a while painted metro train.,Some blue lettering is present in a while painted metro train.,0.19082441106560788,1.0,1.163349524445675
302,swap_atribute,incongruent,The metro train is painted white with blue lettering.,The metro train is painted blue with white lettering.,Some blue lettering is present in a while painted metro train.,The metro train is painted white with blue lettering.,The metro train is painted white with blue lettering.,The metro train is painted blue with white lettering.,The metro train is painted blue with white lettering.,The metro train is painted blue with white lettering.,0.0806237961972111,1.0,1.008222412169223
